price,bedrooms,sqfts,longitude,name,latitude,bathrooms_level_two,streetAddress,country,locality,postal,region,housing_type,links,sauna,pool,steam
"$1,650",4,,-123.081958,Vanpm.com Mount Pleasant 4 Bed 3.5 Bath Mount Pleasant Duplex,49.260863,4.0,,CA,Vancouver,V5T2G1,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-vanpmcom-mount-pleasant-bed/7578873551.html,False,,
"$2,000",,700ft2,,,,,,,,,,,https://vancouver.craigslist.org/rch/apa/d/richmond-furnished-bachelor-suite/7569212682.html,False,,
"$4,250",1,1600ft2,-123.127685,Fully furnished spacious 1bd1ba w/ office AND flex solarium,49.263202,1.0,,CA,Vancouver,V6H1E3,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-spacious/7573555304.html,False,,
"$1,500",3,235ft2,-123.083742,Furnished 3 Bedroom Townhouse (1-6 months),49.252708,3.0,3600 Windsor Street,CA,Vancouver,V5V4N2,BC,House,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bedroom-townhouse-6/7574687492.html,False,,
,5,,-122.912400,Five Bedroom House For Rent,49.155100,2.0,115 Street,CA,Delta Northeast,V4C,BC,House,https://vancouver.craigslist.org/rds/apa/d/delta-northeast-five-bedroom-house-for/7584335042.html,False,,
"$2,890",2,596ft2,-122.616400,Above Ground 2 Bdrm Suite,49.219600,1.0,,CA,Maple Ridge,V2X3A9,BC,House,https://vancouver.craigslist.org/pml/apa/d/maple-ridge-above-ground-bdrm-suite/7585672695.html,False,,
"$4,300",3,1600ft2,-122.992100,3 bedrooms,49.203800,2.0,,CA,Burnaby,V5J,BC,House,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedrooms/7584675785.html,False,,
"$3,800",,2700ft2,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/vancouver-lovely-studio-at-the-duke/7576031787.html,False,,
"$1,900",1,1000ft2,-122.908446,Bright 1Bedroom/in suite laundry/water view/close to Skytrain,49.204540,1.0,527 Carnarvon Street,CA,New Westminster,V3L0J4,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-bright-1bedroom-in/7578944066.html,False,,
"$3,000",4,,-123.083400,Coming Soon Lo Lo 4 Bed 4 Bath Duplex brand new,49.322200,4.0,,CA,North Vancouver,V7M1S7,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-coming-soon-lo-lo-bed/7578304636.html,False,,
"$2,355",3,417ft2,-122.796449,3 bed 2 bath Coquitlam center westwood plateau,49.283082,2.0,,CA,Coquitlam,V3B0B2,BC,Apartment,https://vancouver.craigslist.org/pml/apa/d/coquitlam-bed-bath-coquitlam-center/7585591086.html,False,True,
,1,,-122.817578,"1 Bedroom Bsmt For Rent In Fleetwood, Surrey",49.155517,1.0,,CA,Surrey,V3S9K1,BC,House,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-bsmt-for-rent-in/7584364695.html,False,,
"$2,345",2,622ft2,-123.124316,Brand new 2 bed 2bath condo North Van,49.325399,2.0,,CA,North Vancouver,V7P1X4,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-bed-2bath/7578326131.html,False,True,
"$5,200",2,1900ft2,-122.873000,2 BED and den 2 bath Huge 2200 sq ft Penthouse Condo,49.188900,2.0,120 th Street,CA,Surrey Outer Northwest,V3V,BC,Apartment,https://vancouver.craigslist.org/rds/apa/d/surrey-outer-northwest-bed-and-den-bath/7581373133.html,False,,
"$3,995",1,,-123.097900,Beautiful and Bright 1 br condo,49.215600,1.0,Fraser St.,CA,Vancouver,V5X,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-and-bright-br-condo/7583379049.html,False,,
"$1,350",,,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/vancouver-new-building-pet-friendly/7584708804.html,False,,
"$4,500",2,825ft2,-122.902744,Call me Home near Queens Park,49.209930,1.0,52 Royal Avenue,CA,New Westminster,V3L2G1,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-call-me-home-near/7585037035.html,False,,
"$2,800",1,2200ft2,-122.995200,Brand new 1 bedroom apartment available now,49.230200,1.0,,CA,Burnaby,V5H3G1,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-bedroom-apartment/7573937579.html,False,,
"$2,300",2,550ft2,-123.133628,Deluxe 2-Bedroom at Prado,49.173652,2.0,8180 Lansdowne Road,CA,Richmond,V6X3Y9,BC,Apartment,https://vancouver.craigslist.org/rch/apa/d/richmond-deluxe-bedroom-at-prado/7583337247.html,False,,
"$2,750",1,422ft2,-123.134569,One Bedroom Unit Available In South Granville,49.258591,1.0,,CA,Vancouver,V6H1R1,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-unit-available-in/7585684813.html,False,,
,2,,-122.956554,(ORCA_REF#7058B)***TOP OF THE HOUSE! Amazing Area!***,49.266976,1.0,7058 Buchanan Street,CA,Burnaby,V5A3J5,BC,House,https://vancouver.craigslist.org/bnc/apa/d/burnaby-orcaref7058btop-of-the-house/7584359016.html,False,,
"$1,750",2,780ft2,-123.007400,Amazing Brentwood 57th Floor Condo,49.274000,2.0,4510 Halifax Way,CA,Burnaby,V5C,BC,Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-amazing-brentwood-57th-floor/7586039021.html,False,,
"$2,800",2,,-123.132200,Large Two bedroom with Two bathroom- Great Location,49.255900,2.0,1234,CA,Vancouver,V6H,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-large-two-bedroom-with-two/7569127927.html,False,,
"$2,995",1,1200ft2,-123.105712,GASTOWN LOFT - BEAUTIFULLY FURNISHED,49.283456,1.0,,CA,Vancouver,V6B8P6,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-gastown-loft-beautifully/7584335636.html,False,,True
"$1,900",2,,-123.128526,"Yaletown 2b2b new townhouse(2021), rooftop patio(unfurnished)",49.276926,2.0,1283 Howe St,CA,Vancouver,V6Z2R5,BC,House,https://vancouver.craigslist.org/van/apa/d/vancouver-yaletown-2b2b-new/7582922882.html,False,,
"$3,400",2,1698ft2,-122.755300,2 bed 1 bath basement suite,49.079100,1.0,181st,CA,Surrey East,V3S,BC,Apartment,https://vancouver.craigslist.org/rds/apa/d/surrey-east-bed-bath-basement-suite/7585426865.html,False,,
"$3,400",,922ft2,,,,,,,,,,,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-studio-at-the-duke/7582921566.html,False,,
"$2,700",2,,-122.926607,Waterfront 2 -Bedroom suite,49.318446,1.0,Turtlehead Road,CA,Belcarra,V3H4P2,BC,Apartment,https://vancouver.craigslist.org/pml/apa/d/belcarra-waterfront-bedroom-suite/7582577791.html,False,,
